subvolume_size,patch_size,n_layers,d_model,d_ff,n_heads,d_encoder,lr,modelsize,completed,msg,dice_val_avg
128,64,32,128,16,8,8,5e-05,145.52462768554688,False,Not Completed,NA
128,32,256,64,16,8,256,1e-05,45.319549560546875,False,Not Completed,NA
128,64,64,256,32,16,128,5e-05,393.9855651855469,False,Not Completed,NA
128,64,8,256,64,8,128,1e-05,274.9894714355469,False,Not Completed,NA
128,32,8,64,16,16,128,5e-05,9.293182373046875,False,Not Completed,NA
128,64,16,128,256,128,256,5e-05,144.53244018554688,False,Not Completed,NA
128,64,256,128,64,8,16,5e-05,290.6183776855469,False,Not Completed,NA
128,32,256,128,64,8,32,0.0001,178.65353393554688,False,Not Completed,NA
128,16,128,32,64,8,256,5e-05,8.972869873046875,False,Not Completed,NA
128,64,64,64,64,32,64,5e-05,76.41525268554688,True,Completed,0.01269673703548809
128,64,32,64,16,8,16,0.0001,68.73556518554688,False,Not Completed,NA
128,16,64,64,8,32,16,5e-05,9.999237060546875,False,Not Completed,NA
128,32,64,256,64,16,64,1e-05,177.99337768554688,False,Not Completed,NA
128,16,32,64,128,32,128,0.0001,9.413299560546875,False,Not Completed,NA
128,64,8,64,8,8,256,0.0001,65.24777221679688,False,Not Completed,NA
128,64,16,128,8,32,256,0.0001,136.75216674804688,False,Not Completed,NA
128,32,8,128,128,16,8,5e-05,22.344940185546875,False,Not Completed,NA
128,64,128,128,64,8,32,1e-05,209.43869018554688,False,Not Completed,NA
128,32,256,32,8,8,256,1e-05,13.652557373046875,False,Not Completed,NA
128,16,32,256,16,128,64,5e-05,71.84103393554688,False,Not Completed,NA
128,64,16,64,16,16,32,1e-05,66.41720581054688,False,Not Completed,NA
128,32,8,16,16,16,32,5e-05,2.125701904296875,False,Not Completed,NA
128,32,128,64,32,8,128,1e-05,28.725799560546875,False,Not Completed,NA
128,64,128,128,16,128,16,0.0001,197.38400268554688,False,Not Completed,NA
128,32,32,8,16,8,128,0.0001,1.160614013671875,False,Not Completed,NA
128,32,256,128,256,8,16,1e-05,275.0207214355469,False,Not Completed,NA
128,16,16,128,128,128,256,0.0001,14.762908935546875,False,Not Completed,NA
128,16,8,32,8,16,8,1e-05,0.898162841796875,False,Not Completed,NA
128,16,16,256,128,128,128,1e-05,45.634002685546875,False,Not Completed,NA
128,32,32,16,8,8,8,0.0001,2.370330810546875,False,Not Completed,NA
128,32,128,32,128,8,8,1e-05,16.450408935546875,False,Not Completed,NA
128,64,128,16,64,16,32,1e-05,19.221893310546875,False,Not Completed,NA
128,32,128,256,256,128,8,0.0001,419.2824401855469,False,Not Completed,NA
128,32,32,32,32,32,32,1e-05,5.625213623046875,True,Completed,0.012301805526173363
128,16,128,32,64,16,32,0.0001,8.945526123046875,True,Completed,0.01138878962956369
128,64,64,64,16,8,128,5e-05,73.40744018554688,False,Not Completed,NA
128,16,32,64,256,16,8,0.0001,13.415252685546875,False,Not Completed,NA
128,16,64,16,8,16,16,1e-05,0.997772216796875,True,Completed,0.011813963724610707
128,16,32,64,8,16,16,5e-05,5.606658935546875,False,Not Completed,NA
128,16,128,128,16,32,128,0.0001,71.68478393554688,True,Completed,0.01202294152850906
128,64,8,8,8,8,64,5e-05,8.038787841796875,False,Not Completed,NA
128,64,16,128,256,128,16,0.0001,144.41525268554688,False,Not Completed,NA
128,32,16,64,128,8,256,1e-05,12.249237060546875,False,Not Completed,NA
128,32,8,64,64,8,256,1e-05,9.702362060546875,False,Not Completed,NA
128,64,16,64,32,64,32,5e-05,66.66915893554688,False,Not Completed,NA
128,32,16,256,64,16,32,5e-05,69.09494018554688,False,Not Completed,NA
128,64,8,64,32,8,32,5e-05,65.38204956054688,False,Not Completed,NA
128,16,32,128,64,8,8,5e-05,22.782440185546875,False,Not Completed,NA
128,16,64,32,128,16,128,5e-05,6.816619873046875,False,Not Completed,NA
128,32,128,128,128,32,64,5e-05,113.54415893554688,False,Not Completed,NA
128,32,32,64,256,8,16,0.0001,20.307830810546875,False,Not Completed,NA
128,32,16,64,8,16,64,0.0001,10.312713623046875,True,Completed,0.013926594750955701
128,32,32,32,64,16,256,5e-05,6.160369873046875,False,Not Completed,NA
128,64,8,64,64,8,16,5e-05,65.63009643554688,False,Not Completed,NA
128,32,64,8,128,8,64,0.0001,2.234832763671875,False,Not Completed,NA
128,64,64,256,32,16,32,1e-05,393.8918151855469,False,Not Completed,NA
128,32,256,128,256,128,256,0.0001,275.1379089355469,False,Not Completed,NA
128,32,8,256,16,8,256,0.0001,49.666229248046875,True,Completed,0.014062151623268923
128,64,128,128,64,8,128,5e-05,209.48556518554688,True,Completed,0.013540504946528623
128,32,128,256,8,128,16,1e-05,295.0480651855469,False,Not Completed,NA
128,16,256,32,16,8,64,1e-05,11.199432373046875,False,Not Completed,NA
128,32,8,16,64,16,8,5e-05,2.220916748046875,False,Not Completed,NA
128,32,16,32,128,16,128,1e-05,5.609588623046875,False,Not Completed,NA
128,16,16,128,32,16,128,0.0001,11.688690185546875,True,Completed,0.01198529040751358
128,32,32,128,128,64,256,5e-05,40.700408935546875,False,Not Completed,NA
128,64,16,128,32,16,16,0.0001,137.38790893554688,False,Not Completed,NA
128,64,256,64,64,16,64,1e-05,113.35275268554688,True,Completed,0.010809550585690886
128,64,128,64,128,8,8,1e-05,96.77658081054688,False,Not Completed,NA
128,16,16,64,32,16,32,1e-05,3.792205810546875,False,Not Completed,NA
128,64,8,32,64,32,16,5e-05,32.559783935546875,False,Not Completed,NA
128,16,128,32,64,32,16,1e-05,8.943572998046875,False,Not Completed,NA
128,16,256,32,32,32,256,1e-05,13.254119873046875,False,Not Completed,NA
128,64,256,256,256,32,64,1e-05,1029.7824401855469,False,Not Completed,NA
128,64,256,128,8,64,256,0.0001,262.6261901855469,False,Not Completed,NA
128,16,256,64,16,64,16,5e-05,38.370330810546875,False,Not Completed,NA
128,16,16,64,16,8,256,5e-05,3.594940185546875,False,Not Completed,NA
128,16,256,128,8,16,64,5e-05,136.77853393554688,False,Not Completed,NA
128,64,32,32,8,16,128,5e-05,33.249237060546875,False,Not Completed,NA
128,64,128,128,128,64,32,5e-05,225.50119018554688,False,Not Completed,NA
128,64,256,8,256,8,32,1e-05,17.150115966796875,False,Not Completed,NA
128,32,64,128,16,16,16,0.0001,50.841033935546875,False,Not Completed,NA
128,16,32,64,64,32,8,5e-05,7.368377685546875,False,Not Completed,NA
128,16,128,64,8,64,128,0.0001,18.811737060546875,False,Not Completed,NA
128,32,16,8,16,8,64,0.0001,1.085418701171875,False,Not Completed,NA
128,64,64,32,8,16,128,1e-05,34.446502685546875,False,Not Completed,NA
128,32,256,64,64,32,16,1e-05,57.354705810546875,False,Not Completed,NA
128,32,128,256,32,16,8,1e-05,307.0636901855469,False,Not Completed,NA
128,32,64,32,8,16,128,5e-05,6.453338623046875,False,Not Completed,NA
128,32,32,256,256,16,16,1e-05,129.41525268554688,False,Not Completed,NA
128,32,8,16,16,16,128,1e-05,2.131561279296875,False,Not Completed,NA
128,16,32,64,16,8,8,1e-05,5.856658935546875,False,Not Completed,NA
128,32,16,8,32,8,32,0.0001,1.117645263671875,False,Not Completed,NA
128,32,256,64,256,32,32,1e-05,105.73361206054688,False,Not Completed,NA
128,16,32,256,16,128,64,5e-05,71.84103393554688,False,Not Completed,NA
128,32,64,64,64,8,16,1e-05,20.417205810546875,False,Not Completed,NA
128,16,64,32,16,32,256,5e-05,3.277557373046875,False,Not Completed,NA
128,64,8,32,128,8,16,1e-05,32.813690185546875,False,Not Completed,NA
128,32,16,256,32,128,128,0.0001,67.18478393554688,False,Not Completed,NA
128,64,128,32,8,16,256,1e-05,36.856658935546875,False,Not Completed,NA
128,32,256,64,128,8,128,0.0001,73.50704956054688,False,Not Completed,NA
128,64,64,32,256,8,8,5e-05,42.302947998046875,False,Not Completed,NA
128,16,64,64,64,64,64,1e-05,13.538299560546875,True,Completed,0.011276464210823178
128,64,128,128,16,128,16,0.0001,197.38400268554688,False,Not Completed,NA
128,16,128,256,64,64,16,1e-05,295.5402526855469,False,Not Completed,NA
128,32,32,16,64,16,128,1e-05,2.828826904296875,False,Not Completed,NA
128,64,8,256,8,8,64,5e-05,273.1735534667969,False,Not Completed,NA
128,16,8,128,128,64,128,0.0001,8.622283935546875,True,Completed,0.011897910599752018
128,16,256,64,32,32,16,1e-05,42.401580810546875,False,Not Completed,NA
128,16,64,64,64,16,64,1e-05,13.538299560546875,True,Completed,0.012366631378730139
128,32,8,256,32,16,128,1e-05,50.042205810546875,False,Not Completed,NA
128,64,64,64,128,64,128,5e-05,80.46212768554688,False,Not Completed,NA
128,64,256,64,128,16,64,5e-05,129.47775268554688,True,Completed,0.013058645864172528
128,16,8,32,16,32,64,0.0001,0.936737060546875,False,Not Completed,NA
128,64,16,16,256,16,64,0.0001,17.194549560546875,False,Not Completed,NA
128,32,16,16,64,16,128,1e-05,2.428436279296875,False,Not Completed,NA
128,16,16,8,256,8,32,0.0001,0.721160888671875,False,Not Completed,NA
128,64,128,64,32,16,16,5e-05,84.68478393554688,False,Not Completed,NA
