minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.1298, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.0096, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.0240, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.0337, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.1683, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.1202, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.0048, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.0048, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.0144, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.0385, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.1010, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.0096, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.0096, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.0481, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0.0144, device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
