subvolume_size,patch_size,n_layers,d_model,d_ff,n_heads,d_encoder,lr,modelsize,completed,msg,dice_val_avg,logdir
128,32,8,16,32,16,16,0.0005,2.1434669494628906,True,Completed,0.48445856531983916,logs/3DVit_e100_gmwm_sv128_49a9e4c6-9354-48b9-9416-d93b09a1be7d
128,32,8,8,16,4,8,0.0005,1.0397682189941406,True,Completed,0.5138212999230939,logs/3DVit_e100_gmwm_sv128_41ee52cd-3fd0-483d-afad-f195b1d3eb94
128,32,8,16,8,16,16,0.0005,2.0951271057128906,True,Completed,0.5699722860988817,logs/3DVit_e100_gmwm_sv128_9986c5f1-493f-4324-a9d2-2dbba669aa43
128,16,8,64,128,4,64,0.0005,3.2182960510253906,True,Completed,0.5993934928586605,logs/3DVit_e100_gmwm_sv128_b6e0ca62-0920-418a-bc3f-cfe8f28e82ef
128,16,4,16,64,4,16,0.0005,0.3851661682128906,True,Completed,0.5061829458726084,logs/3DVit_e100_gmwm_sv128_362a9881-6253-4a93-972b-a4873b1674a1
128,16,8,256,8,64,256,0.0005,21.65481948852539,True,Completed,0.61614217805235,logs/3DVit_e100_gmwm_sv128_b24017e5-80cb-4bd7-a95e-1c4d39449f6e
128,32,64,64,256,64,64,0.0005,32.47220230102539,True,Completed,0.3326219555578734,logs/3DVit_e100_gmwm_sv128_18d5e714-628e-453a-af42-fc1d4db49f7e
128,32,4,64,128,16,64,0.0005,9.08743667602539,True,Completed,0.5138398620643112,logs/3DVit_e100_gmwm_sv128_a8a25f96-41c2-4dd8-aafb-0ac8a220c26e
128,16,16,64,64,8,64,0.0005,4.253452301025391,True,Completed,0.674924732823121,logs/3DVit_e100_gmwm_sv128_df063703-7fe0-4e91-9e8e-2572a4aaad9d
128,32,8,16,32,16,16,0.0005,2.1434669494628906,True,Completed,0.3321344554424284,logs/3DVit_e100_gmwm_sv128_49a9e4c6-9354-48b9-9416-d93b09a1be7d
128,16,16,32,16,16,32,0.0005,1.2380714416503906,True,Completed,0.5318309747074781,logs/3DVit_e100_gmwm_sv128_3974f005-2079-4a04-bdee-1b9e151de93e
128,32,8,8,16,4,8,0.0005,1.0397682189941406,True,Completed,0.5307931833361323,logs/3DVit_e100_gmwm_sv128_41ee52cd-3fd0-483d-afad-f195b1d3eb94
128,32,8,16,8,16,16,0.0005,2.0951271057128906,True,Completed,0.572693067945932,logs/3DVit_e100_gmwm_sv128_9986c5f1-493f-4324-a9d2-2dbba669aa43
128,16,8,64,128,4,64,0.0005,3.2182960510253906,True,Completed,0.6065266791142915,logs/3DVit_e100_gmwm_sv128_b6e0ca62-0920-418a-bc3f-cfe8f28e82ef
128,16,4,16,64,4,16,0.0005,0.3851661682128906,True,Completed,0.5541157965597352,logs/3DVit_e100_gmwm_sv128_362a9881-6253-4a93-972b-a4873b1674a1
128,16,8,256,8,64,256,0.0005,21.65481948852539,True,Completed,0.6141321282637744,logs/3DVit_e100_gmwm_sv128_b24017e5-80cb-4bd7-a95e-1c4d39449f6e
128,32,4,64,128,16,64,0.0005,9.08743667602539,True,Completed,0.5414528682043678,logs/3DVit_e100_gmwm_sv128_a8a25f96-41c2-4dd8-aafb-0ac8a220c26e
128,16,16,64,64,8,64,0.0005,4.253452301025391,True,Completed,0.6752841723592659,logs/3DVit_e100_gmwm_sv128_df063703-7fe0-4e91-9e8e-2572a4aaad9d
128,32,8,16,32,16,16,0.0005,2.1434669494628906,True,Completed,0.5003443234845212,logs/3DVit_e100_gmwm_sv128_49a9e4c6-9354-48b9-9416-d93b09a1be7d
128,32,8,8,16,4,8,0.0005,1.0397682189941406,True,Completed,0.5422429418877552,logs/3DVit_e100_gmwm_sv128_41ee52cd-3fd0-483d-afad-f195b1d3eb94
128,32,8,16,8,16,16,0.0005,2.0951271057128906,True,Completed,0.5826794340422279,logs/3DVit_e100_gmwm_sv128_9986c5f1-493f-4324-a9d2-2dbba669aa43
128,16,16,32,16,16,32,0.0005,1.2380714416503906,True,Completed,0.5586055776006295,logs/3DVit_e100_gmwm_sv128_3974f005-2079-4a04-bdee-1b9e151de93e
128,16,4,16,64,4,16,0.0005,0.3851661682128906,True,Completed,0.5759313310447493,logs/3DVit_e100_gmwm_sv128_362a9881-6253-4a93-972b-a4873b1674a1
128,16,8,64,128,4,64,0.0005,3.2182960510253906,True,Completed,0.6166586224970063,logs/3DVit_e100_gmwm_sv128_b6e0ca62-0920-418a-bc3f-cfe8f28e82ef
128,16,8,256,8,64,256,0.0005,21.65481948852539,True,Completed,0.6304711832811958,logs/3DVit_e100_gmwm_sv128_b24017e5-80cb-4bd7-a95e-1c4d39449f6e
128,32,4,64,128,16,64,0.0005,9.08743667602539,True,Completed,0.5386066021103612,logs/3DVit_e100_gmwm_sv128_a8a25f96-41c2-4dd8-aafb-0ac8a220c26e
128,32,64,64,256,64,64,0.0005,32.47220230102539,True,Completed,0.3322897510308968,logs/3DVit_e100_gmwm_sv128_18d5e714-628e-453a-af42-fc1d4db49f7e
128,32,8,16,32,16,16,0.0005,2.1434669494628906,True,Completed,0.5199210455543116,logs/3DVit_e100_gmwm_sv128_49a9e4c6-9354-48b9-9416-d93b09a1be7d
128,16,16,64,64,8,64,0.0005,4.253452301025391,True,Completed,0.6744992882013323,logs/3DVit_e100_gmwm_sv128_df063703-7fe0-4e91-9e8e-2572a4aaad9d
128,32,8,8,16,4,8,0.0005,1.0397682189941406,True,Completed,0.5536741661398036,logs/3DVit_e100_gmwm_sv128_41ee52cd-3fd0-483d-afad-f195b1d3eb94
